account_id,branch,product,balance,tenure_years
AC00048,Ogden,Savings,2500.22,9.7
AC00049,Ogden,Checking,10137.1,4.5
AC00050,Logan,Checking,776150.4,1.0
AC00051,Ogden,CD,15526.45,6.5
AC00052,Provo,Savings,4058.42,13.2
AC00053,Logan,Checking,4801.94,6.9
AC00054,Logan,Checking,2385.85,3.0
AC00055,Ogden,Checking,6088.18,6.9
AC00056,Logan,Savings,13301.14,5.5
AC00057,Ogden,Checking,726.24,5.1
AC00058,Ogden,Savings,21245.0,7.9
AC00059,Provo,Savings,662568.87,7.8
AC00060,Ogden,Checking,2956.69,8.3
AC00061,Logan,Checking,12601.94,3.3
AC00062,Ogden,CD,915.7,2.6
AC00063,Ogden,Savings,17343.92,3.0
AC00064,St. George,Checking,1225.04,10.1
AC00065,Ogden,Savings,1597.68,7.4
AC00066,Provo,Checking,3698.89,4.1
AC00067,St. George,CD,1825.14,11.2
AC00068,Provo,CD,5262.93,5.5
AC00069,Logan,Savings,2648.85,0.7
AC00070,Provo,CD,6621.62,6.4
AC00071,Provo,Savings,2485.12,0.7
AC00072,Provo,Checking,7048.17,10.1
AC00073,Provo,Checking,8963.65,13.2
AC00074,Provo,Checking,1058.42,3.1
AC00075,Logan,Checking,3845.65,6.6
AC00076,Ogden,Checking,5266.42,3.9
AC00077,Ogden,Savings,5838.29,5.4
AC00078,Ogden,Checking,9253.12,4.6
AC00079,Logan,Checking,15780.4,2.6
AC00080,Ogden,Checking,5982.96,4.6
AC00081,Ogden,CD,1343.21,3.4
AC00082,St. George,Checking,1431.8,3.4
AC00083,Logan,Checking,6892.03,14.2
AC00084,Ogden,Checking,2023.85,5.3
AC00085,Ogden,Checking,625.5,2.5
AC00086,Logan,Savings,3387.66,5.5
AC00087,Logan,CD,8430.08,8.1
AC00088,Logan,Checking,2756.12,9.9
AC00089,Logan,Checking,4056.87,4.0
AC00090,Logan,Savings,1147.57,5.3
AC00091,Logan,Savings,2710.46,3.3
AC00092,Provo,Savings,25304.01,4.4
AC00093,Ogden,Checking,10932.91,2.2
AC00094,St. George,Checking,2092.14,1.6
AC00095,St. George,CD,4076.73,10.7
AC00096,Provo,Savings,7313.49,4.6
AC00097,Ogden,Checking,3344.31,14.6
AC00098,Provo,Checking,11274.8,4.8
AC00099,Provo,Checking,2626.6,7.4
AC00100,Provo,Savings,5203.75,0.9
AC00101,Ogden,Savings,1331.38,11.8
AC00102,Provo,Checking,9575.76,0.1
AC00103,Provo,Savings,2057.82,7.1
AC00104,Logan,CD,1215.0,5.3
AC00105,Ogden,CD,475.32,3.1
AC00106,Ogden,Checking,4022.49,5.8
AC00107,St. George,Checking,2452.03,4.1
AC00108,Ogden,Checking,368.22,7.1
AC00109,Logan,Checking,2462.88,2.0
AC00110,Provo,Checking,1179.73,3.3
AC00111,Ogden,Checking,22865.85,3.7
AC00112,Ogden,Checking,968.61,9.1
AC00113,Provo,Checking,776803.32,3.4
AC00114,Ogden,Savings,474600.36,4.8
AC00115,St. George,Checking,5845.54,2.5
AC00116,Ogden,Checking,2098.87,9.6
AC00117,Ogden,CD,7415.02,0.8
AC00118,St. George,Savings,7224.83,2.2
AC00119,Ogden,Checking,1276.63,4.8
AC00120,Logan,CD,29046.42,3.8
AC00121,Provo,Checking,5371.1,8.5
AC00122,Logan,Savings,7231.66,6.2
AC00123,Ogden,Savings,6556.48,2.3
AC00124,Logan,Checking,2571.48,6.2
AC00125,St. George,CD,6871.79,5.6
AC00126,Logan,Checking,11102.87,6.3
AC00127,Provo,Savings,1560.28,1.2
AC00128,St. George,Checking,4762.18,7.0
AC00129,St. George,CD,1531.22,4.3
AC00130,Ogden,Savings,1127.09,16.0
AC00131,Provo,Savings,1682.16,7.8
AC00132,Ogden,Savings,6837.42,0.9
AC00133,Ogden,Checking,4181.54,2.9
AC00134,Provo,Checking,3014.51,4.1
AC00135,Ogden,CD,5265.09,5.8
AC00136,Logan,Checking,16084.24,4.0
AC00137,Ogden,Checking,1770.2,4.0
AC00138,Provo,Checking,2672.49,10.1
AC00139,Ogden,Savings,1047.62,2.0
AC00140,Ogden,Checking,226.4,5.7
AC00141,Ogden,Checking,1690.81,3.6
AC00142,Provo,Savings,2523.64,10.8
AC00143,Provo,Savings,4306.76,5.3
AC00144,Logan,Checking,10643.76,2.6
AC00145,Ogden,Savings,408.49,3.3
AC00146,Logan,Checking,5832.04,4.8
AC00147,St. George,Checking,1613.67,5.8
AC00148,Logan,Checking,1670.84,3.8
AC00149,Ogden,CD,1272.5,12.7
AC00150,St. George,Savings,9109.36,3.8
AC00151,Ogden,Savings,1024.7,2.8
AC00152,Ogden,CD,6871.82,3.5
AC00153,St. George,Checking,14913.47,11.7
AC00154,St. George,CD,1862.8,1.8
AC00155,Logan,Savings,3345.03,11.2
AC00156,Provo,Checking,1028.83,4.4
AC00157,Provo,Checking,2393.97,10.5
AC00158,Ogden,Checking,2516.07,8.4
AC00159,Provo,CD,4652.13,6.4
AC00160,Provo,Savings,11998.1,4.4
AC00161,Ogden,CD,815.97,8.9
AC00162,St. George,Checking,845.84,5.4
AC00163,Ogden,Savings,14226.52,4.3
AC00164,Logan,Checking,634781.97,2.5
AC00165,Ogden,CD,1798.34,4.0
AC00166,Ogden,Checking,2717.86,7.3
AC00167,Ogden,Checking,4909.78,3.9
AC00168,Provo,Checking,775.51,9.3
AC00169,Provo,Checking,2637.36,5.8
AC00170,Ogden,Savings,1234.77,2.6
AC00171,Ogden,Checking,5081.14,8.7
AC00172,Ogden,Checking,18837.05,3.1
AC00173,Ogden,Checking,889.62,14.3
AC00174,Ogden,Checking,5408.83,9.6
AC00175,Ogden,Checking,481088.58,4.1
AC00176,Provo,Checking,5493.26,1.6
AC00177,Provo,Checking,811.06,11.0
AC00178,Provo,Savings,5495.97,5.6
AC00179,Ogden,CD,3960.42,9.0
AC00180,Ogden,Savings,9204.97,5.6
AC00181,St. George,Checking,7220.25,4.5
AC00182,Logan,Savings,8279.27,6.4
AC00183,St. George,Checking,1184.88,6.8
AC00184,Provo,Checking,74373.88,2.0
AC00185,Ogden,Checking,2584.08,1.2
AC00186,Ogden,Checking,628.25,2.0
AC00187,St. George,Checking,1707.23,8.0
AC00188,Provo,Checking,21325.86,2.7
AC00189,Ogden,CD,1877.22,9.9
AC00190,Provo,Savings,2725.12,6.1
AC00191,Ogden,Savings,8665.47,2.6
AC00192,Ogden,Checking,2257.56,2.4
AC00193,Logan,Checking,4072.79,9.9
AC00194,Provo,Checking,2786.3,1.1
AC00195,Logan,Checking,6714.34,10.9
AC00196,Provo,Checking,13036.65,5.2
AC00197,St. George,Savings,5586.68,10.3
AC00198,Ogden,CD,1141.63,6.9
AC00199,Ogden,Savings,3615.68,2.3
AC00200,Logan,Checking,2334.11,10.4
AC00201,Ogden,Savings,2010.16,10.1
AC00202,Provo,Checking,2165.84,12.3
AC00203,Ogden,CD,12093.47,6.5
AC00204,Provo,Checking,1698.4,7.4
AC00205,Ogden,Savings,1549.22,11.3
AC00206,Ogden,Savings,4011.32,10.3
AC00207,Provo,Savings,2022.37,2.7
AC00208,Logan,Checking,5263.7,9.1
AC00209,Provo,Checking,9080.08,3.7
AC00210,Ogden,Checking,29900.33,6.4
AC00211,Ogden,Checking,5037.29,4.7
AC00212,Ogden,CD,1900.85,5.8
AC00213,Ogden,Checking,8962.72,3.2
AC00214,Ogden,Checking,2050.56,3.9
AC00215,Provo,Savings,2805.73,7.0
AC00216,Provo,CD,8769.12,7.2
AC00217,St. George,Savings,1857.72,4.5
AC00218,St. George,Savings,10026.28,6.6
AC00219,Ogden,Checking,24502.93,6.6
AC00220,Ogden,Savings,2213.9,9.8
AC00221,Logan,Checking,5396.3,6.9
AC00222,Logan,Checking,697020.01,16.8
AC00223,Ogden,Savings,2677.49,2.8
AC00224,Ogden,Checking,4048.92,1.1
AC00225,Logan,CD,2831.91,3.3
AC00226,Ogden,Checking,12461.26,6.4
AC00227,Provo,Checking,1382.52,10.1
AC00228,Logan,Savings,1808.83,9.6
AC00229,Ogden,CD,13543.51,6.5
AC00230,Provo,Savings,7256.67,3.1
AC00231,Provo,Checking,437.06,5.0
AC00232,St. George,Checking,4602.92,4.5
AC00233,St. George,Checking,4138.78,6.4
AC00234,Ogden,Checking,1011.86,3.1
AC00235,Provo,Checking,5871.15,5.7
AC00236,St. George,Checking,1070.54,4.8
AC00237,Ogden,Checking,3879.59,0.1
AC00238,Ogden,Checking,14098.59,1.6
AC00239,Ogden,Savings,3108.22,10.7
AC00240,St. George,Savings,4692.77,4.9
AC00241,St. George,Checking,816751.45,2.6
AC00242,Provo,CD,1419.68,22.3
AC00243,Logan,Checking,9446.22,9.0
AC00244,Ogden,Savings,4088.75,7.9
AC00245,Ogden,Savings,2914.87,1.1
AC00246,Provo,Checking,3079.18,6.5
AC00247,Logan,Savings,2965.58,5.9
AC00248,Provo,CD,4533.95,6.6
AC00249,Ogden,Savings,4990.86,6.4
AC00250,Ogden,CD,961.55,2.6
AC00251,Ogden,Checking,9208.92,2.8
AC00252,Logan,Checking,1201.8,2.9
AC00253,Ogden,Checking,403.11,5.8
AC00254,Logan,Checking,7581.59,3.8
AC00255,Ogden,Checking,1922.64,9.8
AC00256,Logan,Checking,1584.07,5.2
AC00257,Provo,CD,6211.71,10.4
AC00258,Provo,Savings,7871.73,4.1
AC00259,Ogden,Checking,3579.69,5.6
AC00260,Logan,Checking,28005.18,0.6
AC00261,Provo,CD,3202.71,5.2
AC00262,Logan,Checking,8702.42,7.8
AC00263,Provo,CD,25102.0,8.0
AC00264,Provo,Savings,4112.8,1.5
AC00265,Ogden,Savings,2215.1,11.0
AC00266,Provo,Checking,1571.5,20.2
AC00267,Logan,Savings,3664.68,7.5
AC00268,Ogden,Savings,3526.64,11.6
AC00269,Provo,Checking,2014.13,5.8
AC00270,Provo,Savings,1457.54,1.7
AC00271,Logan,Savings,9026.29,1.0
AC00272,Logan,Checking,1692.82,9.3
AC00273,Ogden,Savings,6704.9,9.4
AC00274,Logan,Checking,612.69,9.5
AC00275,Provo,Checking,3900.98,0.8
AC00276,Ogden,Checking,6464.11,14.2
AC00277,Provo,Savings,5479.82,4.1
AC00278,Ogden,Savings,1903.19,11.3
AC00279,Provo,Savings,4788.12,2.1
AC00280,Provo,Checking,5627.72,0.6
AC00281,St. George,Checking,3135.67,8.6
AC00282,Provo,Savings,7464.74,4.9
AC00283,Ogden,Checking,10548.23,13.8
AC00284,Logan,Savings,8974.36,3.7
AC00285,Provo,Savings,4945.59,7.2
AC00286,Logan,Savings,8952.04,5.6
AC00287,Ogden,Checking,1953.89,5.7
AC00288,Logan,Savings,4961.56,5.5
AC00289,Ogden,Checking,11558.98,12.3
AC00290,St. George,Savings,5667.08,5.6
AC00291,Ogden,CD,338416.68,15.7
AC00292,St. George,Checking,8270.72,5.3
AC00293,Provo,Savings,379.02,2.5
AC00294,Provo,CD,8942.43,8.2
AC00295,Provo,Checking,1628.92,2.8
AC00296,Provo,CD,6167.58,1.2
AC00297,Ogden,Savings,2424.33,10.3
AC00298,St. George,Savings,3557.46,5.3
AC00299,Logan,CD,2860.48,1.8
AC00300,Ogden,Checking,4000.14,3.5
AC00301,Provo,Checking,4709.45,2.7
AC00302,Ogden,Savings,8746.88,11.0
AC00303,Ogden,Checking,7333.93,3.5
AC00304,Provo,Savings,438912.33,1.5
AC00305,Ogden,Checking,1885.21,10.8
AC00306,Ogden,Checking,1168.1,1.1
AC00307,Logan,Checking,6344.33,23.7
AC00308,Ogden,Savings,2461.26,5.3
AC00309,Provo,Savings,1641.24,2.7
AC00310,Ogden,Checking,1150.37,3.6
AC00311,Ogden,CD,34190.89,4.6
AC00312,Provo,Checking,783.53,16.3
AC00313,Logan,Checking,11346.51,11.4
AC00314,Logan,Checking,1645.27,1.4
AC00315,Ogden,Checking,6718.85,5.5
AC00316,Logan,Checking,5055.72,3.7
AC00317,St. George,Savings,3846.16,2.1
AC00318,Logan,Checking,7862.54,2.8
AC00319,Ogden,CD,4453.14,2.8
AC00320,Provo,Checking,6260.15,6.3
AC00321,Provo,CD,4186.46,16.1
AC00322,Provo,Savings,3940.35,3.1
AC00323,Logan,Checking,2053.39,1.0
AC00324,Logan,Checking,31082.54,11.3
AC00325,Logan,Checking,5505.46,9.5
AC00326,Logan,Checking,715.4,5.8
AC00327,Logan,Savings,1573.1,12.7
AC00328,Provo,Checking,9968.95,7.9
AC00329,Ogden,Checking,7760.47,1.4
AC00330,Ogden,Checking,857458.81,7.5
AC00331,Ogden,CD,385.36,11.1
AC00332,St. George,Checking,2826.09,7.8
AC00333,Ogden,Checking,13901.33,12.4
AC00334,Provo,Savings,2574.76,2.9
AC00335,Provo,Savings,3715.22,13.7
AC00336,Ogden,Savings,5843.09,5.7
AC00337,St. George,Checking,6549.75,9.8
AC00338,St. George,Savings,5033.77,8.3
AC00339,Provo,CD,4381.99,12.3
AC00340,Ogden,Savings,1590.57,3.3
AC00341,Ogden,CD,7536.33,3.9
AC00342,Provo,Checking,3260.3,2.6
AC00343,Logan,Savings,5780.95,3.0
AC00344,Ogden,Checking,3165.41,11.5
AC00345,Ogden,Checking,1967.93,3.6
AC00346,Ogden,Savings,11479.53,3.9
AC00347,Provo,Checking,2695.6,8.4
AC00348,Ogden,Checking,2807.93,5.8
AC00349,Provo,Checking,3244.05,2.3
AC00350,St. George,CD,1667.36,4.4
AC00351,Ogden,Savings,2643.13,5.9
AC00352,Provo,Checking,2119.47,2.7
AC00353,St. George,Checking,1366.47,8.6
AC00354,Logan,Checking,4936.71,2.9
AC00355,Provo,Checking,19467.49,2.5
AC00356,Provo,Checking,4465.65,8.7
AC00357,Provo,Savings,5854.44,1.7
AC00358,Ogden,Savings,1373.16,13.5
AC00359,Provo,Checking,2948.22,4.1
AC00360,St. George,CD,985.78,10.5
AC00361,St. George,CD,1378.6,0.7
AC00362,St. George,Savings,10413.98,18.5
AC00363,Ogden,Savings,965.09,4.8
AC00364,Ogden,Checking,4375.32,7.3
AC00365,Logan,Savings,2038.08,12.9
AC00366,Provo,CD,8190.06,7.8
AC00367,Provo,Checking,6126.6,2.2
AC00368,Provo,Savings,32715.98,3.2
AC00369,Ogden,CD,3004.17,3.1
AC00370,Logan,Savings,4105.72,10.2
AC00371,Ogden,Savings,2539.11,3.8
AC00372,Ogden,Checking,7536.78,2.5
AC00373,Provo,Savings,10646.9,6.9
AC00374,St. George,Checking,1679.16,17.0
AC00375,Ogden,Savings,1015.02,10.5
AC00376,Ogden,CD,8708.99,9.3
AC00377,Ogden,Checking,8449.34,3.4
AC00378,Logan,Checking,2304.89,9.1
AC00379,Provo,Checking,12349.32,4.4
AC00380,Provo,CD,6173.26,6.5
AC00381,St. George,Savings,2908.75,6.8
AC00382,Ogden,Savings,1444.17,1.4
AC00383,Ogden,Savings,14684.21,19.3
AC00384,St. George,Checking,1144.87,3.0
AC00385,Ogden,Savings,5000.89,2.8
AC00386,Provo,Checking,4952.68,1.8
AC00387,Ogden,Checking,6498.18,3.4
AC00388,Logan,Checking,3245.33,2.8
AC00389,Logan,Checking,1201.57,1.9
AC00390,Ogden,Checking,2016.05,5.5
AC00391,Logan,Checking,4395.29,8.9
AC00392,Ogden,Checking,2217.09,19.1
AC00393,Logan,Checking,1128.19,5.4
AC00394,Ogden,CD,4643.73,6.7
AC00395,Ogden,CD,719.39,9.7
AC00396,Provo,CD,830.46,5.2
AC00397,Logan,Savings,386117.08,6.4
AC00398,Logan,Savings,2224.85,10.1
AC00399,St. George,Checking,715.4,0.3
AC00400,Provo,Checking,1383.41,2.8
AC00401,Provo,Checking,4891.61,10.2
AC00402,St. George,Checking,4311.63,4.3
AC00403,Logan,Checking,1719.77,6.9
AC00404,Ogden,Checking,2103.18,5.5
AC00405,Provo,CD,2746.58,13.1
AC00406,Ogden,CD,8694.47,7.1
AC00407,Logan,Checking,2988.57,5.6
AC00408,Provo,Checking,2020.78,3.2
AC00409,Ogden,Checking,8968.84,0.7
AC00410,Ogden,CD,5585.68,20.5
AC00411,St. George,Checking,1601.53,7.6
AC00412,Provo,Checking,2368.02,5.4
AC00413,St. George,Checking,5141.63,7.5
AC00414,Provo,Savings,11691.47,1.5
AC00415,Logan,Checking,10683.96,2.5
AC00416,Provo,Checking,2606.82,6.0
AC00417,Logan,CD,981.59,10.6
AC00418,St. George,Savings,5318.22,20.7
AC00419,Ogden,Checking,5371.0,5.9
AC00420,Ogden,Checking,5749.5,5.5
AC00421,Ogden,Savings,1001.46,7.7
AC00422,St. George,Checking,3813.5,10.5
AC00423,Provo,Savings,9662.55,3.1
AC00424,Ogden,Checking,4359.96,0.8
AC00425,St. George,Checking,2622.62,4.4
AC00426,Ogden,Checking,998.99,1.2
AC00427,Ogden,Savings,5470.34,2.9
AC00428,St. George,Checking,1412.87,7.4
AC00429,Ogden,Checking,3260.39,2.1
AC00430,Ogden,CD,8054.84,3.6
AC00431,Provo,CD,9513.71,14.8
AC00432,Provo,Savings,1521.9,8.8
AC00433,St. George,Savings,4219.46,0.5
AC00434,Provo,CD,11768.85,12.2
AC00435,Provo,Checking,1269.07,4.5
AC00436,Logan,Checking,360970.81,2.8
AC00437,Provo,Checking,2040.17,5.1
AC00438,St. George,Checking,1377.77,3.2
AC00439,St. George,Checking,4575.41,16.1
AC00440,Logan,Checking,788.48,3.4
AC00441,St. George,Checking,7912.16,0.5
AC00442,Logan,Checking,3667.69,5.9
AC00443,Ogden,Checking,5213.05,1.5
AC00444,Provo,CD,721933.44,1.1
AC00445,Provo,Savings,10035.12,9.6
AC00446,Logan,Checking,5869.72,5.9
AC00447,Provo,Checking,1463.76,10.2
AC00448,Ogden,Checking,9041.97,5.0
AC00449,Provo,Checking,1098.37,4.8
AC00450,Provo,CD,3116.68,5.6
AC00451,Provo,Checking,1352.11,2.4
AC00452,Provo,Savings,2063.49,4.9
AC00453,St. George,Checking,6063.11,3.1
AC00454,Ogden,Checking,9025.03,12.3
AC00455,Provo,Savings,956.49,3.8
AC00456,Ogden,Checking,2410.22,6.9
AC00457,Provo,Savings,3910.95,12.8
AC00458,St. George,Savings,3804.07,5.1
AC00459,Ogden,Savings,4713.56,10.3
AC00460,Ogden,Checking,2010.74,10.2
AC00461,St. George,Checking,1659.44,3.5
AC00462,Ogden,Checking,3292.68,8.3
AC00463,Ogden,Savings,3374.6,4.6
AC00464,St. George,Savings,4411.04,8.3
AC00465,Ogden,Checking,632.49,1.3
AC00466,Ogden,Savings,8475.12,0.6
AC00467,Provo,Checking,450.26,6.2
AC00468,Logan,Savings,582371.05,2.9
AC00469,Ogden,Checking,1230.99,14.2
AC00470,Provo,Checking,459.87,3.7
AC00471,Logan,Checking,1272.99,5.2
AC00472,St. George,Checking,1816.5,11.0
AC00473,Ogden,Savings,5637.57,4.1
AC00474,Provo,Savings,5352.58,4.6
AC00475,Ogden,Checking,5597.95,1.9
AC00476,St. George,Savings,3928.48,2.1
AC00477,Logan,Savings,7520.19,6.0
AC00478,St. George,Savings,3199.6,6.0
AC00479,Provo,Savings,6892.65,8.8
AC00480,Provo,Checking,4922.02,5.3
AC00481,Ogden,Checking,1676.13,5.1
AC00482,Ogden,CD,19499.48,1.4
AC00483,Logan,Checking,2187.46,1.2
AC00484,Provo,Savings,10753.19,3.4
AC00485,Provo,Checking,8834.53,5.7
AC00486,Logan,Savings,6464.47,1.2
AC00487,Logan,Savings,4525.51,2.8
AC00488,St. George,Savings,1267.19,7.0
AC00489,Ogden,Checking,5335.49,4.6
AC00490,St. George,Checking,2064.89,4.2
AC00491,Provo,Savings,9167.01,4.8
AC00492,Ogden,Savings,2368.85,2.8
AC00493,St. George,CD,780.67,2.0
AC00494,Ogden,Checking,1144.56,4.9
AC00495,Logan,Checking,7386.77,6.2
AC00496,Provo,Checking,5295.32,6.6
AC00497,Ogden,Checking,3542.01,4.2
AC00498,Provo,Checking,13925.72,6.0
AC00499,Ogden,Checking,6302.12,6.7
AC00500,Provo,Savings,1280.44,8.2
AC00501,Logan,Checking,2231.54,3.4
AC00502,Ogden,Checking,5969.11,12.0
AC00503,Ogden,Savings,5172.49,0.9
AC00504,Provo,Checking,2304.81,6.0
AC00505,Provo,Savings,1951.06,16.8
AC00506,St. George,Checking,4635.17,11.0
AC00507,Logan,Savings,2583.74,3.3
AC00508,Provo,CD,2443.96,3.0
AC00509,Ogden,Savings,1082.09,8.7
AC00510,Ogden,Checking,1728.39,5.9
AC00511,Ogden,Checking,1973.06,10.3
AC00512,Ogden,Savings,4741.67,1.3
AC00513,Provo,Checking,1855.75,2.9
AC00514,Provo,Savings,251.34,1.3
AC00515,Provo,Checking,1118.85,5.9
AC00516,Ogden,Savings,5390.76,1.6
AC00517,St. George,CD,2732.97,9.5
AC00518,Ogden,Checking,4238.0,9.7
AC00519,St. George,Savings,774258.82,7.7
AC00520,Provo,Savings,5002.46,6.2
AC00521,Provo,Savings,2225.79,5.6
AC00522,Provo,Savings,1819.72,7.2
AC00523,Ogden,Checking,7984.13,3.4
AC00524,Provo,CD,3641.66,1.5
AC00525,St. George,Savings,5316.94,5.5
AC00526,Logan,Savings,1235.51,3.5
AC00527,St. George,Checking,13602.36,7.5
AC00528,Provo,Checking,3055.66,1.9
AC00529,Ogden,Checking,4146.35,6.1
AC00530,Ogden,Checking,2577.56,2.9
AC00531,St. George,Checking,4884.45,13.8
AC00532,Provo,Savings,1772.92,5.8
AC00533,Provo,Savings,4922.44,3.6
AC00534,St. George,Checking,5424.32,4.8
AC00535,St. George,Checking,2280.97,7.7
AC00536,Ogden,Savings,4178.35,3.9
AC00537,St. George,Savings,7213.6,7.1
AC00538,St. George,CD,4854.75,2.3
AC00539,Ogden,Checking,1250.56,19.2
AC00540,Provo,Savings,4359.51,9.1
AC00541,Ogden,Checking,3255.97,12.4
AC00542,Ogden,Savings,5402.93,2.1
AC00543,St. George,Checking,6725.26,3.1
AC00544,Ogden,Savings,7321.75,4.9
AC00545,Provo,Checking,1508.56,3.7
AC00546,Ogden,Checking,3744.65,1.3
AC00547,St. George,Checking,13113.07,5.0
AC00548,Ogden,Checking,1349.94,6.5
AC00549,Ogden,Checking,6661.07,1.7
AC00550,Logan,Checking,1650.82,7.5
AC00551,Logan,Checking,4808.11,2.5
AC00552,Provo,Savings,2718.36,3.0
AC00553,St. George,Savings,2430.77,6.0
AC00554,Logan,Savings,2529.13,11.3
AC00555,Provo,Checking,1803.3,7.8
AC00556,Provo,Savings,1680.48,0.3
AC00557,Logan,Checking,6052.49,7.4
AC00558,Provo,Savings,2240.23,12.2
AC00559,St. George,Checking,1176.51,9.2
AC00560,Ogden,CD,1769.98,3.9
AC00561,St. George,Checking,16429.92,7.8
AC00562,Provo,Savings,8300.12,8.2
AC00563,Provo,Checking,597.1,3.5
AC00564,Ogden,Savings,5570.54,1.0
AC00565,Logan,Checking,7548.07,8.6
AC00566,Logan,Checking,9512.1,7.6
AC00567,Ogden,CD,2085.29,0.7
AC00568,Ogden,Savings,412.7,9.0
AC00569,St. George,Savings,8146.16,2.2
AC00570,St. George,Savings,539.43,0.5
AC00571,Ogden,Checking,3292.32,7.5
AC00572,Logan,Checking,15901.66,12.3
AC00573,Provo,Checking,8008.45,9.8
AC00574,Ogden,Checking,2345.92,3.7
AC00575,Logan,Savings,3774.48,6.1
AC00576,St. George,Checking,814.18,4.8
AC00577,Ogden,Savings,9175.44,5.1
AC00578,Provo,Checking,12449.93,9.5
AC00579,Ogden,CD,1868.52,4.0
AC00580,Ogden,CD,2497.48,4.5
AC00581,Ogden,Savings,9371.32,9.9
AC00582,Logan,Checking,2224.56,2.7
AC00583,Provo,Savings,4626.96,3.7
AC00584,Ogden,Checking,3416.37,4.8
AC00585,Ogden,CD,1093.89,12.2
AC00586,Provo,Savings,7881.76,3.4
AC00587,Ogden,CD,2915.13,8.3
AC00588,Provo,Checking,1919.11,2.5
AC00589,St. George,Checking,5578.66,6.8
AC00590,Provo,Savings,2671.7,7.2
AC00591,St. George,Savings,1320.39,8.2
AC00592,Ogden,Checking,3959.56,2.7
AC00593,Ogden,Savings,1376.13,9.2
AC00594,Provo,CD,511.61,7.5
AC00595,Provo,Checking,5060.95,9.1
AC00596,Ogden,CD,8790.5,7.3
AC00597,Ogden,Checking,5506.55,3.9
AC00598,Provo,Checking,2470.37,18.4
AC00599,Provo,Checking,1614.98,12.9
AC00600,Ogden,Checking,1998.2,4.2
AC00601,St. George,Savings,8008.85,13.4
AC00602,Ogden,Checking,351.7,7.7
AC00603,Logan,Checking,8016.29,6.2
AC00604,Provo,Savings,5140.7,4.7
AC00605,Ogden,Checking,13488.56,15.1
AC00606,Provo,Savings,12500.82,9.6
AC00607,Logan,Checking,8160.41,1.1
AC00608,St. George,Savings,1813.04,24.2
AC00609,Ogden,Savings,1189.9,1.5
AC00610,Ogden,Savings,3074.42,4.4
AC00611,Logan,Checking,513499.13,9.1
AC00612,St. George,Savings,5931.27,6.6
AC00613,Logan,Savings,3930.73,10.8
AC00614,Ogden,Checking,11660.75,12.5
AC00615,Logan,Savings,16682.79,3.7
AC00616,Provo,Checking,6424.46,15.5
AC00617,Ogden,Checking,706.61,2.6
AC00618,St. George,Savings,5463.82,1.6
AC00619,Provo,CD,606.32,3.7
AC00620,Ogden,CD,27834.05,1.5
AC00621,Provo,Savings,3535.18,6.0
AC00622,Provo,Checking,4001.07,18.2
AC00623,St. George,Checking,19924.18,3.7
AC00624,Ogden,Checking,741.71,3.6
AC00625,St. George,Checking,3163.87,2.8
AC00626,Provo,CD,2721.91,10.3
AC00627,Provo,Checking,675912.02,2.0
AC00628,Logan,Checking,7446.17,5.7
AC00629,Ogden,Checking,2044.11,0.5
