loan_id,applicant_group,annual_income,loan_amount,dti_ratio,credit_score,employment_years,region,defaulted
LN000057,A,119954.0,24995.0,0.1868,658,15.1,North,0
LN000058,B,81020.0,25350.0,0.3112,620,2.8,North,0
LN000059,B,41295.0,11908.0,0.3625,615,5.5,South,0
LN000060,B,56696.0,16783.0,0.2891,600,2.4,North,0
LN000061,A,103131.0,21360.0,0.2334,703,11.5,Central,0
LN000062,B,25859.0,9421.0,0.3636,607,4.7,North,0
LN000063,A,102623.0,25823.0,0.2709,751,9.0,Central,0
LN000064,A,85456.0,32185.0,0.3537,704,3.5,South,0
LN000065,A,91691.0,20738.0,0.2445,748,2.9,North,0
LN000066,A,97864.0,24743.0,0.2901,733,8.4,Central,0
LN000067,A,127019.0,17989.0,0.1516,771,3.1,North,0
LN000068,B,65166.0,24258.0,0.3571,766,9.4,Central,0
LN000069,A,98919.0,43772.0,0.3927,820,5.5,South,0
LN000070,A,45956.0,20921.0,0.4886,793,4.1,Central,0
LN000071,A,145429.0,62992.0,0.4339,664,5.2,Central,0
LN000072,A,85749.0,34259.0,0.3825,692,2.5,North,0
LN000073,A,79012.0,21070.0,0.2854,728,3.2,South,0
LN000074,A,83397.0,41622.0,0.486,642,1.3,North,1
LN000075,A,89639.0,29761.0,0.3829,629,6.9,Central,0
LN000076,A,75752.0,13698.0,0.1938,762,2.3,Central,0
LN000077,A,129735.0,14345.0,0.0579,662,9.1,South,0
LN000078,B,74591.0,16233.0,0.2008,707,10.1,South,0
LN000079,A,46676.0,15321.0,0.3173,659,4.8,South,0
LN000080,B,63602.0,16035.0,0.2152,559,1.1,North,0
LN000081,A,84658.0,36190.0,0.4533,753,6.9,Central,0
LN000082,B,86928.0,33261.0,0.3659,747,7.8,North,0
LN000083,A,106162.0,34542.0,0.3149,837,7.3,North,0
LN000084,B,69651.0,25992.0,0.3635,658,7.7,Central,0
LN000085,A,34412.0,9415.0,0.2737,676,2.3,Central,0
LN000086,A,88337.0,35402.0,0.43,671,24.7,North,0
LN000087,A,107219.0,40061.0,0.323,755,18.2,North,0
LN000088,A,104885.0,30347.0,0.2854,743,10.6,South,0
LN000089,B,61337.0,12478.0,0.2282,565,2.9,Central,0
LN000090,B,45184.0,17680.0,0.3726,710,1.8,Central,0
LN000091,A,76210.0,15135.0,0.1475,659,6.1,Central,0
LN000092,A,88542.0,18298.0,0.2055,735,8.6,South,0
LN000093,B,65243.0,31463.0,0.4146,736,8.2,Central,0
LN000094,A,84633.0,31932.0,0.3537,658,6.6,Central,0
LN000095,A,106053.0,37390.0,0.3357,687,5.6,Central,0
LN000096,A,80923.0,15834.0,0.1468,560,1.2,Central,1
LN000097,B,99502.0,33662.0,0.3095,706,8.5,Central,0
LN000098,B,41097.0,10813.0,0.2309,684,12.7,Central,0
LN000099,A,95755.0,4000.0,0.0539,675,3.1,South,0
LN000100,A,45448.0,6023.0,0.2272,694,4.2,South,0
LN000101,A,90133.0,30199.0,0.339,789,6.6,North,0
LN000102,A,118638.0,51688.0,0.3756,718,11.3,South,0
LN000103,A,125275.0,34209.0,0.2508,527,9.8,Central,1
LN000104,A,91158.0,32271.0,0.351,772,7.4,North,0
LN000105,A,113047.0,42150.0,0.3784,630,3.7,Central,0
LN000106,A,100747.0,33410.0,0.35,729,7.4,Central,0
LN000107,B,78175.0,16047.0,0.2093,681,9.6,North,1
LN000108,A,80955.0,24013.0,0.315,685,8.1,Central,0
LN000109,A,106252.0,48774.0,0.4394,679,4.5,Central,0
LN000110,A,110187.0,30652.0,0.3083,667,6.9,Central,0
LN000111,A,140898.0,30611.0,0.2257,694,3.8,North,1
LN000112,A,58389.0,21447.0,0.3792,736,1.2,North,0
LN000113,A,90184.0,28376.0,0.2954,653,9.3,North,0
LN000114,A,86599.0,20257.0,0.2451,767,8.2,Central,0
LN000115,A,67623.0,26175.0,0.3485,654,7.8,North,1
LN000116,A,96497.0,20778.0,0.2883,696,7.7,North,0
LN000117,B,65819.0,27584.0,0.4352,787,9.8,North,0
LN000118,A,82973.0,20439.0,0.1957,742,6.7,Central,0
LN000119,A,96262.0,43839.0,0.5132,827,7.7,North,1
LN000120,A,26217.0,4529.0,0.1582,654,3.9,North,0
LN000121,A,69062.0,22934.0,0.2853,737,6.1,Central,0
LN000122,A,117300.0,38791.0,0.3169,752,8.9,North,0
LN000123,A,84612.0,13775.0,0.1433,725,2.8,Central,0
LN000124,B,70245.0,9021.0,0.0969,850,11.9,South,0
LN000125,A,101461.0,46297.0,0.5002,768,2.5,Central,0
LN000126,A,75191.0,31860.0,0.4521,750,12.6,Central,0
LN000127,B,53023.0,17274.0,0.395,724,3.5,North,0
LN000128,A,117265.0,40741.0,0.2737,702,3.5,Central,0
LN000129,A,68986.0,16018.0,0.1869,767,13.5,North,0
LN000130,A,111791.0,7322.0,0.0404,687,2.1,North,0
LN000131,A,116427.0,30020.0,0.2438,686,4.3,Central,0
LN000132,B,54047.0,32104.0,0.5908,783,4.8,South,0
LN000133,A,83428.0,15334.0,0.1557,643,3.9,North,0
LN000134,A,52026.0,22531.0,0.3845,614,4.7,Central,0
LN000135,A,106743.0,29956.0,0.2805,807,10.7,South,0
LN000136,B,37490.0,10301.0,0.3218,728,10.6,North,0
LN000137,A,85859.0,37834.0,0.4646,631,1.2,North,0
LN000138,A,91777.0,27472.0,0.3288,732,12.9,North,0
LN000139,A,95215.0,25641.0,0.2211,655,3.1,Central,0
LN000140,A,84867.0,15708.0,0.1585,650,7.1,Central,0
LN000141,A,53410.0,10905.0,0.1826,673,3.3,Central,0
LN000142,A,108634.0,23358.0,0.2508,788,3.2,North,0
LN000143,B,76147.0,42752.0,0.6053,672,8.4,Central,1
LN000144,A,81680.0,24282.0,0.2603,687,6.2,South,0
LN000145,B,64749.0,17467.0,0.322,568,6.1,South,1
LN000146,A,62515.0,12276.0,0.2182,673,4.7,North,0
LN000147,A,67096.0,25371.0,0.3742,591,2.1,South,0
LN000148,A,79093.0,27658.0,0.3587,695,14.7,North,0
LN000149,A,64068.0,13151.0,0.2099,802,1.5,North,0
LN000150,B,61459.0,16739.0,0.2166,588,1.3,North,0
LN000151,B,48458.0,18163.0,0.3507,719,3.8,North,0
LN000152,A,72256.0,27054.0,0.3769,671,3.0,North,0
LN000153,A,117614.0,35966.0,0.3285,758,1.8,North,0
LN000154,A,75947.0,28726.0,0.3606,645,11.6,South,0
LN000155,A,67601.0,18332.0,0.2877,799,9.2,North,0
LN000156,A,51233.0,25587.0,0.5243,783,2.6,North,0
LN000157,B,59861.0,31941.0,0.5392,711,1.3,North,0
LN000158,B,85418.0,21937.0,0.2417,701,4.9,South,0
LN000159,A,82626.0,32044.0,0.513,686,10.1,North,0
LN000160,A,106482.0,26672.0,0.256,743,3.3,Central,0
LN000161,B,44939.0,15877.0,0.3288,591,7.0,South,0
LN000162,B,81145.0,25972.0,0.3423,662,3.4,South,0
LN000163,A,84592.0,24687.0,0.2729,676,7.6,Central,0
LN000164,A,108646.0,46275.0,0.3837,764,3.9,North,0
LN000165,A,87800.0,29990.0,0.3064,773,1.9,North,0
LN000166,A,84140.0,24954.0,0.334,686,1.1,Central,0
LN000167,A,93873.0,14819.0,0.1618,739,5.6,North,0
LN000168,B,59908.0,17338.0,0.2499,616,7.5,Central,0
LN000169,A,86465.0,26372.0,0.3166,614,8.0,South,0
LN000170,A,74621.0,25064.0,0.3522,730,8.4,Central,0
LN000171,B,82872.0,28770.0,0.4026,631,9.8,North,0
LN000172,B,93531.0,43691.0,0.5407,761,7.5,North,0
LN000173,A,54994.0,9790.0,0.2051,738,8.3,South,0
LN000174,A,85020.0,19331.0,0.2339,738,6.0,Central,0
LN000175,B,52068.0,18796.0,0.3206,612,6.6,North,1
LN000176,A,90796.0,50685.0,0.5721,735,5.5,North,0
LN000177,B,34086.0,5667.0,0.1785,646,5.8,North,0
LN000178,B,59885.0,32602.0,0.534,676,6.8,North,0
LN000179,A,102256.0,29044.0,0.3291,579,1.8,South,0
LN000180,B,51439.0,10654.0,0.2434,725,7.8,Central,0
LN000181,A,60172.0,29030.0,0.4455,748,2.6,North,0
LN000182,A,64826.0,19494.0,0.3105,708,4.7,South,0
LN000183,A,63032.0,20502.0,0.3556,654,4.5,South,0
LN000184,A,101000.0,38006.0,0.3413,741,5.6,South,0
LN000185,A,105133.0,10422.0,0.1372,708,6.1,North,0
LN000186,B,46790.0,4000.0,0.0626,630,8.5,North,0
LN000187,A,90916.0,40524.0,0.4587,646,5.4,North,0
LN000188,A,111057.0,40382.0,0.3899,643,15.3,South,0
LN000189,B,78408.0,42776.0,0.5097,645,3.6,Central,0
LN000190,A,57166.0,4089.0,0.1423,777,1.8,Central,0
LN000191,B,43192.0,9661.0,0.1762,824,8.6,South,0
LN000192,B,80208.0,16227.0,0.2092,644,6.0,North,0
LN000193,B,88487.0,26389.0,0.2893,714,5.4,South,0
LN000194,B,53521.0,15258.0,0.3379,565,1.8,Central,1
LN000195,A,140614.0,34730.0,0.297,615,4.4,North,1
LN000196,A,57425.0,4000.0,0.1143,745,16.1,Central,0
LN000197,A,102731.0,26795.0,0.2087,688,2.7,South,0
LN000198,B,40477.0,14797.0,0.3501,684,9.6,South,0
LN000199,A,125367.0,52095.0,0.4501,750,8.5,North,0
LN000200,A,81511.0,28766.0,0.4082,744,7.1,South,0
LN000201,A,136966.0,58065.0,0.4464,671,2.3,Central,0
LN000202,B,63266.0,14544.0,0.1983,686,9.1,North,0
LN000203,A,80093.0,38640.0,0.4686,753,2.9,North,0
LN000204,B,47259.0,19339.0,0.3668,711,8.6,South,0
LN000205,A,59535.0,20476.0,0.329,760,4.8,North,0
LN000206,B,44718.0,23849.0,0.468,726,3.9,Central,0
LN000207,A,77891.0,4000.0,0.0947,752,9.4,North,0
LN000208,B,65455.0,35687.0,0.5632,723,5.8,North,0
LN000209,A,56371.0,4000.0,0.0765,763,2.2,South,0
LN000210,B,70130.0,18326.0,0.2249,658,11.4,Central,0
LN000211,A,79363.0,26919.0,0.4249,846,2.6,North,0
LN000212,A,105712.0,36258.0,0.4325,671,7.1,Central,0
LN000213,A,82068.0,35184.0,0.4695,697,4.8,North,0
LN000214,B,22000.0,4110.0,0.1029,621,2.8,North,0
LN000215,A,89759.0,27981.0,0.344,692,5.8,North,0
LN000216,A,28692.0,8756.0,0.2862,728,6.8,Central,0
LN000217,B,83273.0,26309.0,0.3164,660,3.6,North,0
LN000218,A,60449.0,28987.0,0.4594,794,8.1,South,0
LN000219,A,62140.0,29828.0,0.5054,635,7.5,Central,0
LN000220,A,85655.0,28814.0,0.3979,757,4.7,Central,0
LN000221,B,61445.0,15614.0,0.2435,619,5.6,Central,0
LN000222,A,96628.0,43956.0,0.4442,686,5.3,Central,0
LN000223,B,79290.0,38819.0,0.5644,667,0.6,Central,0
LN000224,A,145549.0,34438.0,0.2151,725,8.2,South,1
LN000225,A,111001.0,15719.0,0.143,740,5.4,North,0
LN000226,B,63284.0,12936.0,0.1461,637,9.3,South,0
LN000227,A,57408.0,23006.0,0.4205,783,22.3,North,0
LN000228,A,67167.0,7620.0,0.1188,845,4.6,Central,0
LN000229,A,119433.0,45729.0,0.4693,591,2.8,North,0
LN000230,A,100542.0,30088.0,0.3089,703,3.7,Central,0
LN000231,A,47450.0,12550.0,0.3034,662,10.3,South,0
LN000232,B,52976.0,25329.0,0.5356,626,2.3,North,0
LN000233,B,100417.0,18123.0,0.1216,660,1.7,Central,0
LN000234,A,103336.0,34217.0,0.3286,837,2.8,Central,0
LN000235,A,99335.0,33071.0,0.3235,658,4.5,Central,0
LN000236,A,84952.0,26016.0,0.3164,669,6.5,South,0
LN000237,A,65022.0,17705.0,0.2299,789,5.4,North,0
LN000238,A,147029.0,54762.0,0.3293,683,13.2,Central,0
LN000239,A,110354.0,38116.0,0.3618,741,6.3,North,0
LN000240,A,98692.0,36109.0,0.3749,664,7.6,North,0
LN000241,A,111475.0,16553.0,0.1692,663,1.5,North,0
LN000242,A,90432.0,14968.0,0.2122,684,4.0,North,0
LN000243,A,105080.0,63956.0,0.6758,735,5.6,North,0
LN000244,A,112827.0,23266.0,0.1541,802,9.3,Central,0
LN000245,B,22000.0,9375.0,0.5092,621,4.2,South,1
LN000246,A,87932.0,10068.0,0.1142,711,5.3,South,0
LN000247,B,68026.0,31714.0,0.4165,740,9.1,North,0
LN000248,A,70530.0,10975.0,0.1739,752,4.1,North,0
LN000249,A,106785.0,41213.0,0.3741,690,8.4,Central,0
LN000250,A,66178.0,24137.0,0.3491,771,4.0,Central,0
LN000251,A,60918.0,21491.0,0.3362,706,5.3,Central,0
LN000252,A,94249.0,31325.0,0.3348,706,10.6,North,0
LN000253,A,125271.0,64059.0,0.5784,775,4.4,North,0
LN000254,A,115540.0,32555.0,0.286,725,4.4,South,0
LN000255,A,116917.0,45727.0,0.3502,850,2.7,Central,0
LN000256,A,107833.0,19145.0,0.082,712,5.0,North,0
LN000257,A,45407.0,19527.0,0.444,840,6.0,North,0
LN000258,A,80968.0,7876.0,0.0742,756,7.7,North,0
LN000259,B,74735.0,33831.0,0.4432,695,5.4,South,1
LN000260,A,67777.0,18603.0,0.2843,732,3.0,Central,0
LN000261,B,40147.0,15299.0,0.3972,680,5.8,North,0
LN000262,A,84708.0,5463.0,0.1168,625,9.5,Central,0
LN000263,B,60721.0,17172.0,0.3008,721,9.0,North,1
LN000264,A,105161.0,32860.0,0.3334,742,2.6,Central,1
LN000265,A,95664.0,29480.0,0.2927,678,2.9,Central,0
LN000266,A,108529.0,43432.0,0.4162,772,7.5,North,0
LN000267,B,60252.0,21812.0,0.4046,606,8.2,North,0
LN000268,A,86597.0,23862.0,0.3278,665,20.1,North,0
LN000269,A,65899.0,22782.0,0.3041,733,15.3,Central,0
LN000270,A,91612.0,36702.0,0.4344,653,7.5,South,0
LN000271,A,82413.0,33325.0,0.3835,699,1.3,North,0
LN000272,A,104814.0,49180.0,0.5036,662,9.6,South,0
LN000273,A,88937.0,19730.0,0.1878,765,9.6,Central,0
LN000274,A,88229.0,19936.0,0.2206,656,0.2,North,0
LN000275,B,58007.0,8713.0,0.0876,699,7.3,Central,0
LN000276,A,92456.0,30382.0,0.3907,743,1.6,Central,0
LN000277,A,68346.0,28067.0,0.4342,706,18.0,Central,0
LN000278,A,130471.0,83654.0,0.6256,702,8.6,Central,0
LN000279,B,62556.0,19119.0,0.2819,698,3.7,North,0
LN000280,B,50502.0,10561.0,0.1798,540,3.6,North,1
LN000281,A,93677.0,34872.0,0.3877,596,0.5,South,0
LN000282,A,75800.0,25181.0,0.3575,756,3.2,North,0
LN000283,A,102324.0,46401.0,0.4789,660,4.1,South,0
LN000284,A,101426.0,30379.0,0.2822,846,5.8,South,0
LN000285,A,110174.0,45550.0,0.4228,733,10.9,South,1
LN000286,A,89403.0,16754.0,0.1649,747,6.1,Central,0
LN000287,A,101689.0,19834.0,0.2047,673,20.9,Central,0
LN000288,A,90146.0,32874.0,0.3388,844,7.3,North,0
LN000289,A,98567.0,22787.0,0.2474,727,4.6,North,0
LN000290,B,56516.0,16879.0,0.3075,651,5.7,Central,0
LN000291,A,54972.0,25223.0,0.4373,714,3.1,South,0
LN000292,A,106206.0,24884.0,0.183,786,5.0,South,0
LN000293,A,120264.0,36548.0,0.2885,625,13.2,South,0
LN000294,B,58163.0,15569.0,0.3056,677,9.8,Central,0
LN000295,A,63087.0,36132.0,0.5516,781,9.3,North,0
LN000296,A,88033.0,41509.0,0.5206,710,11.2,Central,0
LN000297,B,83870.0,38695.0,0.4839,636,3.5,Central,0
LN000298,A,83175.0,18259.0,0.1569,749,5.9,Central,0
LN000299,A,95117.0,33100.0,0.3686,751,2.4,South,0
LN000300,A,82627.0,15177.0,0.1887,683,8.3,Central,0
LN000301,B,51983.0,22470.0,0.3683,606,8.9,North,0
LN000302,A,40851.0,22821.0,0.5342,680,1.7,South,0
LN000303,A,51319.0,18446.0,0.4024,759,1.7,Central,0
LN000304,B,64533.0,27741.0,0.4094,634,10.2,North,0
LN000305,A,90869.0,38997.0,0.4557,771,13.2,Central,0
LN000306,A,70134.0,16502.0,0.179,752,3.5,North,0
LN000307,A,64736.0,29790.0,0.3778,733,15.8,Central,0
LN000308,A,82614.0,16485.0,0.2003,766,3.6,South,0
LN000309,A,91442.0,42354.0,0.5541,678,13.7,Central,0
LN000310,A,84798.0,30330.0,0.4382,614,7.0,South,0
LN000311,B,62730.0,17993.0,0.3204,642,2.1,Central,1
LN000312,A,30609.0,16200.0,0.5566,724,5.5,South,0
LN000313,A,89620.0,22444.0,0.2234,747,5.2,Central,0
LN000314,A,84689.0,26060.0,0.3023,751,6.8,North,0
LN000315,B,68072.0,18401.0,0.2211,695,6.1,North,0
LN000316,A,99101.0,15000.0,0.1304,826,6.1,South,0
LN000317,B,49813.0,10419.0,0.1786,622,13.7,North,0
LN000318,A,61959.0,14186.0,0.1922,769,1.4,Central,0
LN000319,A,86545.0,25800.0,0.3834,687,4.6,Central,0
LN000320,A,56746.0,19612.0,0.3947,757,7.0,Central,0
LN000321,A,65343.0,27529.0,0.4491,711,9.5,Central,0
LN000322,B,54272.0,27346.0,0.4088,680,6.7,North,1
LN000323,B,51163.0,19448.0,0.433,657,5.7,North,0
LN000324,A,124940.0,67680.0,0.5294,656,10.1,North,0
LN000325,A,66540.0,15894.0,0.241,687,0.7,Central,0
LN000326,B,68694.0,26269.0,0.3898,611,11.5,North,1
LN000327,A,91400.0,45848.0,0.5267,778,1.6,North,0
LN000328,B,49936.0,14311.0,0.2824,537,22.4,Central,0
LN000329,A,22000.0,6290.0,0.2447,661,1.9,Central,0
LN000330,B,68661.0,16510.0,0.2767,564,27.0,North,0
LN000331,B,67404.0,35076.0,0.5642,754,6.8,Central,0
LN000332,A,64045.0,20110.0,0.2593,719,6.5,South,0
LN000333,A,107545.0,42086.0,0.4251,719,8.8,Central,0
LN000334,A,96557.0,35714.0,0.3713,721,10.7,South,0
LN000335,A,78413.0,23863.0,0.3269,774,6.1,North,0
LN000336,A,98445.0,15890.0,0.1492,725,15.8,North,0
LN000337,A,72426.0,13868.0,0.2391,636,14.0,South,0
LN000338,A,80465.0,25365.0,0.3049,646,7.3,North,0
LN000339,A,70293.0,21257.0,0.3337,663,3.5,Central,0
LN000340,A,90576.0,42236.0,0.4938,729,6.0,North,1
LN000341,B,78578.0,15781.0,0.1761,597,0.9,Central,0
LN000342,A,122225.0,76037.0,0.6374,717,6.8,North,0
LN000343,A,79403.0,24985.0,0.3099,787,15.1,Central,0
LN000344,B,78911.0,27473.0,0.2918,561,2.4,North,1
LN000345,A,96680.0,45381.0,0.4585,671,6.0,Central,0
LN000346,B,69546.0,24569.0,0.3247,578,12.1,South,0
LN000347,A,62996.0,30272.0,0.5266,689,13.4,Central,0
LN000348,B,78449.0,44303.0,0.5095,652,5.7,North,1
LN000349,A,81637.0,21646.0,0.2851,725,3.4,North,0
LN000350,B,46611.0,12618.0,0.3604,622,14.9,North,1
LN000351,A,139156.0,35548.0,0.2394,683,3.5,Central,0
LN000352,A,136869.0,52539.0,0.4328,745,5.3,North,0
LN000353,B,83909.0,27998.0,0.3591,770,12.2,South,0
LN000354,B,88957.0,34289.0,0.4648,577,3.1,North,0
LN000355,A,45248.0,10178.0,0.1895,721,9.6,North,0
LN000356,A,83089.0,15904.0,0.187,564,4.0,North,0
LN000357,A,48735.0,13921.0,0.2608,742,3.1,North,0
LN000358,A,79004.0,6032.0,0.0769,747,11.7,South,0
LN000359,A,53078.0,5650.0,0.136,696,3.9,South,0
LN000360,A,87411.0,4000.0,0.0404,685,10.5,South,0
LN000361,A,97565.0,17101.0,0.1668,762,21.7,Central,0
LN000362,A,70248.0,22974.0,0.2807,835,3.2,South,0
LN000363,A,56071.0,27538.0,0.4907,672,2.6,Central,0
LN000364,A,117270.0,46145.0,0.3207,698,10.6,Central,0
LN000365,A,76727.0,16847.0,0.2369,762,11.2,Central,0
LN000366,B,52547.0,25791.0,0.466,752,5.3,North,0
LN000367,A,82836.0,33681.0,0.3438,717,9.2,Central,0
LN000368,B,71814.0,23442.0,0.2477,751,7.0,North,0
LN000369,B,59499.0,25667.0,0.4738,718,6.2,North,1
LN000370,A,85084.0,22243.0,0.2742,686,2.5,North,0
LN000371,B,44182.0,15421.0,0.4387,582,8.9,South,0
LN000372,A,109186.0,56189.0,0.5505,646,19.1,South,0
LN000373,B,57368.0,14794.0,0.2066,561,4.0,North,0
LN000374,A,71279.0,17543.0,0.2187,679,1.7,Central,1
LN000375,B,55106.0,18645.0,0.3504,642,7.4,Central,0
LN000376,A,43594.0,18188.0,0.4116,683,18.6,South,0
LN000377,A,118875.0,37679.0,0.2739,608,14.7,Central,0
LN000378,A,67484.0,17418.0,0.2851,715,2.8,Central,0
LN000379,A,74749.0,8630.0,0.1603,689,6.2,Central,0
LN000380,A,78810.0,34828.0,0.5071,662,3.1,Central,0
LN000381,A,132031.0,38765.0,0.2401,756,6.9,North,0
LN000382,B,45064.0,12102.0,0.2221,752,9.3,North,0
LN000383,A,90344.0,51111.0,0.4851,770,8.7,Central,0
LN000384,A,155029.0,31063.0,0.2485,744,9.0,North,0
LN000385,A,85166.0,6267.0,0.0326,850,23.4,North,0
LN000386,B,65862.0,25498.0,0.4384,643,1.5,Central,0
LN000387,A,95914.0,21496.0,0.2066,761,6.3,Central,0
LN000388,B,66704.0,23877.0,0.3743,655,6.5,Central,0
LN000389,B,47248.0,20025.0,0.4212,641,5.7,South,0
LN000390,B,67091.0,25959.0,0.4141,719,5.6,South,1
LN000391,B,52896.0,6786.0,0.1419,664,12.0,South,0
LN000392,B,44704.0,22350.0,0.4701,697,12.6,Central,0
LN000393,B,97401.0,31463.0,0.2869,764,9.1,South,0
LN000394,A,22000.0,8086.0,0.3311,670,10.2,North,0
LN000395,A,93941.0,18357.0,0.1844,650,6.1,South,0
LN000396,A,128470.0,45336.0,0.3538,768,5.4,North,0
LN000397,A,45178.0,11512.0,0.299,743,3.8,North,1
LN000398,B,74610.0,18362.0,0.1946,582,7.1,North,0
LN000399,B,63152.0,25711.0,0.3636,717,2.9,Central,0
LN000400,A,73540.0,22807.0,0.3379,684,2.1,North,0
LN000401,B,62045.0,24054.0,0.4035,704,4.3,South,0
LN000402,A,66593.0,41304.0,0.6451,798,2.8,Central,1
LN000403,B,31870.0,10740.0,0.4071,559,8.7,North,0
LN000404,B,57973.0,17616.0,0.3466,568,8.4,Central,0
LN000405,B,70580.0,20455.0,0.2739,677,7.6,North,0
LN000406,B,103546.0,44154.0,0.3853,700,3.5,South,0
LN000407,B,80538.0,33399.0,0.4411,726,5.3,North,0
LN000408,A,103753.0,44626.0,0.4408,685,3.6,North,0
LN000409,A,77019.0,26065.0,0.3541,657,17.1,South,0
LN000410,B,46081.0,18156.0,0.4125,662,1.8,Central,0
LN000411,A,67976.0,39564.0,0.5456,703,8.9,Central,0
LN000412,A,65550.0,20041.0,0.3,795,9.4,Central,0
LN000413,A,121608.0,43610.0,0.4269,730,15.7,South,0
LN000414,B,47937.0,13016.0,0.3331,687,4.9,South,0
LN000415,B,109968.0,40283.0,0.3195,567,3.4,Central,0
LN000416,A,115114.0,37870.0,0.353,663,2.0,North,0
LN000417,A,66226.0,18293.0,0.1953,683,1.7,North,0
LN000418,A,80778.0,21243.0,0.2359,774,8.4,North,0
LN000419,A,91539.0,38702.0,0.4155,805,4.5,Central,0
LN000420,A,60402.0,21113.0,0.3198,700,21.5,South,0
LN000421,A,109731.0,17724.0,0.1507,643,0.6,North,0
LN000422,A,98383.0,57583.0,0.628,672,10.1,South,0
LN000423,A,92504.0,38276.0,0.4306,653,10.6,North,0
LN000424,A,105553.0,45589.0,0.455,790,8.0,North,0
LN000425,A,65106.0,16036.0,0.2122,723,7.1,North,0
LN000426,A,63382.0,24336.0,0.3568,795,1.7,Central,0
LN000427,B,57294.0,19769.0,0.3594,646,2.9,South,0
LN000428,B,68327.0,21313.0,0.2798,638,6.3,Central,0
LN000429,A,99356.0,38548.0,0.3461,695,4.4,Central,0
